mepid,result,eugroup,identifier
256956,for,ECR,170767
257117,for,ECR,170767
124760,for,ECR,170767
4746,for,ECR,170767
23788,for,ECR,170767
99878,for,ECR,170767
257096,for,ECR,170767
257094,for,ECR,170767
257076,for,ECR,170767
96810,for,ECR,170767
198490,for,ECR,170767
197794,for,ECR,170767
257055,for,ECR,170767
197516,for,ECR,170767
257056,for,ECR,170767
197469,for,ECR,170767
220871,for,ECR,170767
197493,for,ECR,170767
257149,for,ECR,170767
4395,for,ECR,170767
257060,for,ECR,170767
239260,for,ECR,170767
257058,for,ECR,170767
30123,for,ECR,170767
257150,for,ECR,170767
257115,for,ECR,170767
257145,for,ECR,170767
256907,for,ECR,170767
197820,for,ECR,170767
257104,for,ECR,170767
197773,for,ECR,170767
197545,for,ECR,170767
257113,for,ECR,170767
257025,for,ECR,170767
257119,for,ECR,170767
204346,for,ECR,170767
257114,for,ECR,170767
257163,for,ECR,170767
256925,for,ECR,170767
256806,for,ECR,170767
257258,for,ECR,170767
256884,for,ECR,170767
256811,for,ECR,170767
257143,for,ECR,170767
197552,for,ECR,170767
257052,for,ECR,170767
197572,for,ECR,170767
124884,for,ECR,170767
256808,for,ESN,170767
257022,for,NI,170767
96653,for,NI,170767
256955,for,NI,170767
256810,for,PPE,170767
257043,for,PPE,170767
197490,for,PPE,170767
113523,for,PPE,170767
24922,for,PPE,170767
256887,for,PPE,170767
197534,for,PPE,170767
197679,for,PPE,170767
197408,for,PPE,170767
197410,for,PPE,170767
197636,for,PPE,170767
204129,for,PPE,170767
125012,for,PPE,170767
257047,for,PPE,170767
257081,for,PPE,170767
28122,for,PPE,170767
28219,for,PPE,170767
28390,for,PPE,170767
257034,for,PPE,170767
257078,for,PPE,170767
257028,for,PPE,170767
204333,for,PPE,170767
197473,for,PPE,170767
257048,for,PPE,170767
96787,for,PPE,170767
99945,for,PPE,170767
28226,for,PPE,170767
257035,for,PPE,170767
257137,for,PPE,170767
1917,for,PPE,170767
251874,for,PPE,170767
124807,for,PPE,170767
202036,for,PPE,170767
125027,for,PPE,170767
97399,for,PPE,170767
220908,for,PPE,170767
197514,for,PPE,170767
257033,for,PPE,170767
197646,for,PPE,170767
197412,for,PPE,170767
124895,for,PPE,170767
96780,for,PPE,170767
257065,for,PPE,170767
257031,for,PPE,170767
256973,for,PPE,170767
197523,for,PPE,170767
197406,for,PPE,170767
197525,for,PPE,170767
97968,for,PPE,170767
197843,for,PPE,170767
257261,for,PPE,170767
256920,for,PPE,170767
