mepid,result,eugroup,identifier
197469,for,ECR,170768
197545,for,ECR,170768
256884,for,ECR,170768
256811,for,ECR,170768
257018,for,NI,170768
96653,for,NI,170768
256955,for,NI,170768
256810,for,PPE,170768
257043,for,PPE,170768
197490,for,PPE,170768
113523,for,PPE,170768
24922,for,PPE,170768
256887,for,PPE,170768
197534,for,PPE,170768
197679,for,PPE,170768
197408,for,PPE,170768
197410,for,PPE,170768
197636,for,PPE,170768
204129,for,PPE,170768
125012,for,PPE,170768
257047,for,PPE,170768
257081,for,PPE,170768
257051,for,PPE,170768
28122,for,PPE,170768
28219,for,PPE,170768
28390,for,PPE,170768
257034,for,PPE,170768
257078,for,PPE,170768
257028,for,PPE,170768
204333,for,PPE,170768
257048,for,PPE,170768
96787,for,PPE,170768
28226,for,PPE,170768
257035,for,PPE,170768
257137,for,PPE,170768
256840,for,PPE,170768
1917,for,PPE,170768
257032,for,PPE,170768
251874,for,PPE,170768
124807,for,PPE,170768
202036,for,PPE,170768
125027,for,PPE,170768
97399,for,PPE,170768
197514,for,PPE,170768
257033,for,PPE,170768
197646,for,PPE,170768
197412,for,PPE,170768
124895,for,PPE,170768
256918,for,PPE,170768
257031,for,PPE,170768
197840,for,PPE,170768
256973,for,PPE,170768
197523,for,PPE,170768
197406,for,PPE,170768
197525,for,PPE,170768
97968,for,PPE,170768
257261,for,PPE,170768
256920,for,PPE,170768
95074,for,PPE,170768
204336,for,PPE,170768
1927,for,PPE,170768
124808,for,PPE,170768
220896,for,PPE,170768
124806,for,PPE,170768
256974,for,PPE,170768
28400,for,PPE,170768
197711,for,PPE,170768
72779,for,PPE,170768
124802,for,PPE,170768
257027,for,PPE,170768
256847,for,PPE,170768
257039,for,PPE,170768
124701,for,PPE,170768
107212,for,PPE,170768
257049,for,PPE,170768
257040,for,PPE,170768
197738,for,PPE,170768
197404,for,PPE,170768
257128,for,PPE,170768
257041,for,PPE,170768
188945,for,PPE,170768
188096,for,PPE,170768
197413,for,PPE,170768
125670,for,PPE,170768
98219,for,PPE,170768
256979,for,PPE,170768
197422,for,PPE,170768
28223,for,PPE,170768
86057,for,PPE,170768
197426,for,PPE,170768
197417,for,PPE,170768
256889,for,PPE,170768
257068,for,PPE,170768
119435,for,PPE,170768
257026,for,PPE,170768
257089,for,PPE,170768
204449,for,PPE,170768
197402,for,PPE,170768
256814,for,PPE,170768
219652,for,PPE,170768
124795,for,PPE,170768
256804,for,PPE,170768
96756,for,PPE,170768
98582,for,PPE,170768
204400,for,PPE,170768
197429,for,PPE,170768
197405,for,PPE,170768
257045,for,PPE,170768
257046,for,PPE,170768
28229,for,PPE,170768
39725,for,PPE,170768
197606,for,PPE,170768
124713,for,PPE,170768
124893,for,PPE,170768
256998,for,PfE,170768
256981,for,PfE,170768
260724,for,PfE,170768
192254,for,PfE,170768
256857,for,PfE,170768
28150,for,PfE,170768
23816,for,PfE,170768
256909,for,PfE,170768
256860,for,PfE,170768
257125,for,PfE,170768
103246,for,PfE,170768
256869,for,Renew,170768
197400,for,Renew,170768
197781,for,Renew,170768
257003,for,Renew,170768
256841,for,Renew,170768
256870,for,Renew,170768
197589,for,Renew,170768
257038,for,Renew,170768
256970,for,Renew,170768
197780,for,Renew,170768
197557,for,Renew,170768
197770,for,Renew,170768
257256,for,Renew,170768
197401,for,Renew,170768
257013,for,Renew,170768
257037,for,Renew,170768
257301,for,Renew,170768
257010,for,Renew,170768
257257,for,Renew,170768
257438,for,Renew,170768
256976,for,Renew,170768
257061,for,Renew,170768
130100,for,Renew,170768
197502,for,Renew,170768
197769,for,Renew,170768
220801,for,Renew,170768
257011,for,Renew,170768
197581,for,Renew,170768
257138,for,The Left,170768
197533,for,The Left,170768
197684,for,The Left,170768
124984,for,The Left,170768
197574,for,The Left,170768
197529,for,The Left,170768
257023,for,The Left,170768
197468,for,The Left,170768
256961,for,The Left,170768
256823,for,The Left,170768
124985,for,The Left,170768
256913,for,The Left,170768
257299,for,The Left,170768
197795,for,The Left,170768
257012,for,The Left,170768
256890,for,The Left,170768
124736,for,The Left,170768
257063,for,The Left,170768
236053,for,The Left,170768
257140,for,The Left,170768
257083,for,The Left,170768
257135,for,The Left,170768
257126,for,The Left,170768
256911,for,The Left,170768
257127,for,The Left,170768
190517,for,The Left,170768
257009,for,The Left,170768
2268,for,The Left,170768
256910,for,The Left,170768
124813,for,The Left,170768
257133,for,The Left,170768
256956,against,ECR,170768
257117,against,ECR,170768
124760,against,ECR,170768
4746,against,ECR,170768
23788,against,ECR,170768
197501,against,ECR,170768
257096,against,ECR,170768
257094,against,ECR,170768
257076,against,ECR,170768
257091,against,ECR,170768
96810,against,ECR,170768
198490,against,ECR,170768
197794,against,ECR,170768
257055,against,ECR,170768
197516,against,ECR,170768
256900,against,ECR,170768
220871,against,ECR,170768
256845,against,ECR,170768
197493,against,ECR,170768
257149,against,ECR,170768
4395,against,ECR,170768
256922,against,ECR,170768
257060,against,ECR,170768
257080,against,ECR,170768
239260,against,ECR,170768
257058,against,ECR,170768
257086,against,ECR,170768
30123,against,ECR,170768
257150,against,ECR,170768
257115,against,ECR,170768
257145,against,ECR,170768
256907,against,ECR,170768
197820,against,ECR,170768
257104,against,ECR,170768
197773,against,ECR,170768
257113,against,ECR,170768
257025,against,ECR,170768
257119,against,ECR,170768
197553,against,ECR,170768
204346,against,ECR,170768
257114,against,ECR,170768
257090,against,ECR,170768
96697,against,ECR,170768
257163,against,ECR,170768
256925,against,ECR,170768
256806,against,ECR,170768
257258,against,ECR,170768
257143,against,ECR,170768
197552,against,ECR,170768
257052,against,ECR,170768
197572,against,ECR,170768
197475,against,ESN,170768
256951,against,ESN,170768
128483,against,ESN,170768
256928,against,ESN,170768
256949,against,ESN,170768
190574,against,ESN,170768
256941,against,ESN,170768
257262,against,ESN,170768
256944,against,ESN,170768
256959,against,ESN,170768
257070,against,ESN,170768
197763,against,ESN,170768
257260,against,ESN,170768
124858,against,NI,170768
256939,against,NI,170768
257022,against,NI,170768
198373,against,NI,170768
124834,against,NI,170768
256966,against,NI,170768
256967,against,NI,170768
206158,against,PPE,170768
256809,against,PPE,170768
256983,against,PPE,170768
256852,against,PfE,170768
256881,against,PfE,170768
197829,against,PfE,170768
125052,against,PfE,170768
197528,against,PfE,170768
261038,against,PfE,170768
257029,against,PfE,170768
256843,against,PfE,170768
256844,against,PfE,170768
197578,against,PfE,170768
197825,against,PfE,170768
257050,against,PfE,170768
185771,against,PfE,170768
124766,against,Renew,170768
257110,against,Renew,170768
96711,against,Renew,170768
256891,against,Renew,170768
257014,against,Renew,170768
257057,against,Renew,170768
197443,against,Renew,170768
840,against,Renew,170768
204419,against,Renew,170768
197444,against,Renew,170768
135511,against,Renew,170768
198073,against,Renew,170768
197624,against,Renew,170768
191693,against,Renew,170768
197818,against,Renew,170768
22858,against,Renew,170768
124866,against,Renew,170768
257300,against,Renew,170768
257259,against,Renew,170768
256926,against,Renew,170768
256962,against,Renew,170768
124700,against,Renew,170768
256807,against,Renew,170768
119652,against,S&D,170768
202073,against,S&D,170768
257123,against,S&D,170768
28307,against,S&D,170768
256934,against,S&D,170768
256936,against,S&D,170768
247735,against,S&D,170768
197433,against,S&D,170768
124867,against,S&D,170768
197498,against,S&D,170768
197435,against,S&D,170768
96681,against,S&D,170768
112748,against,S&D,170768
4267,against,S&D,170768
197440,against,S&D,170768
257002,against,S&D,170768
256880,against,S&D,170768
197782,against,S&D,170768
245018,against,S&D,170768
257169,against,S&D,170768
256937,against,S&D,170768
256938,against,S&D,170768
38542,against,S&D,170768
257122,against,S&D,170768
257087,against,S&D,170768
33998,against,S&D,170768
1294,against,S&D,170768
237465,against,S&D,170768
257088,against,S&D,170768
125046,against,S&D,170768
256906,against,S&D,170768
197702,against,S&D,170768
96833,against,S&D,170768
256901,against,S&D,170768
197694,against,S&D,170768
256997,against,S&D,170768
257079,against,S&D,170768
197718,against,S&D,170768
257102,against,S&D,170768
124785,against,S&D,170768
256830,against,S&D,170768
256803,against,S&D,170768
197800,against,S&D,170768
197392,against,S&D,170768
256992,against,S&D,170768
112747,against,S&D,170768
256898,against,S&D,170768
256908,against,S&D,170768
197491,against,S&D,170768
197697,against,S&D,170768
256899,against,S&D,170768
230085,against,S&D,170768
125042,against,S&D,170768
197721,against,S&D,170768
257124,against,S&D,170768
197719,against,S&D,170768
91636,against,S&D,170768
257727,against,S&D,170768
204418,against,S&D,170768
257053,against,S&D,170768
197497,against,S&D,170768
28347,against,S&D,170768
124799,against,S&D,170768
257103,against,S&D,170768
233862,against,S&D,170768
124836,against,S&D,170768
256993,against,S&D,170768
244571,against,S&D,170768
256903,against,S&D,170768
124846,against,S&D,170768
112744,against,S&D,170768
256902,against,S&D,170768
229839,against,S&D,170768
256935,against,S&D,170768
218347,against,S&D,170768
257121,against,S&D,170768
204413,against,S&D,170768
256905,against,S&D,170768
257084,against,S&D,170768
256999,against,S&D,170768
197677,against,S&D,170768
257085,against,S&D,170768
257101,against,S&D,170768
257071,against,S&D,170768
197591,against,S&D,170768
256885,against,S&D,170768
257148,against,S&D,170768
5729,against,S&D,170768
260035,against,S&D,170768
